Description,TotalSalesDollars,ProfitMargin
.nparalleled Svgn Blanc,1094.63,29.97816614
10 Span Cab Svgn CC,2703.89,20.93761211
10 Span Chard CC,3325.56,27.80644463
10 Span Pnt Gris Monterey Cy,2082.22,32.22618167
10 Span Pnt Nr CC,2441.74,25.8360841
12 Days of Pearls Gift Set,309.69,97.67832348
13th Colony Sthrn Corn Whsky,359.82,42.44622311
14 Hands Moscato,798.15,28.51218443
14 Hands Red Blend Ltd,9570.42,45.94594595
14 Hands Rsl Wash,531.48,22.78166629
1792 Full Proof Bourbon,3576.21,24.50862785
1792 Port Finish Bourbon,6998.25,23.08077019
1792 Single Barrel Bourbon,2445.39,21.4485215
1792 Sweet Wheat Bourbon,3170.11,21.41881512
1800 Select Silver Tequila,2129.29,89.4457777
19 Crimes Warden Red,2823.87,23.08817332
2 Copas Spain White,119.88,33.33333333
2 Gingers Irish Whiskey,321.86,40.88734232
20 Mile 09 Brdx Superior,1949.48,83.76900507
24 Knots Pnt Nr,9393.62,47.98969939
3 Blind Moose Cab Svgn Cal,6344.47,55.08025099
3 Blind Moose Chard Cal,6058.73,50.89267883
3 Blind Moose Merlot Cal,6951.85,56.14246567
3 Blind Moose Pnt Grigio Cal,7285.51,56.37367871
4 Orange Vodka,483.78,85.90268304
44* North Huckleberry Vodka,1057.03,12.87664494
44* North Magic Valley Vodka,1349.4,53.84615385
900 Grapes Svgn Bl,59.94,32.43243243
A Bichot Adelie Mercury,815.76,72.03834461
A Bichot Ch Gris Nuits St Ge,648.89,93.73083265
A Bichot Chablis Vaucopins,1623.44,96.33001528
A Bichot Chard Bourgogne,7452.23,19.43364604
A Bichot Clos Marechaudes,539.94,67.7408601
A Bichot Cremant Brut Rose,3402.27,15.98374027
A Bichot Merc Champs M,515.88,94.55299682
A Bichot Morgon Les Charmes,9209.12,84.25701913
A Bichot Petit Chablis,8693.33,33.81535039
A Bichot St-Amour Champlette,6804.39,76.6881381
A Innocenti Nonni Cab Svgn,623.52,17.72517321
A Proper Pink,4442.58,29.56120092
A by Acacia Red Cal,143.88,45.20433695
A to Z Rose,798.53,14.34260454
A to Z Rsl,1002.41,33.31371395
Aalto Ribera Del Duero Red,49.99,32.4264853
Aberfeldy 21 Yr Single Malt,2879.82,43.22839622
Aberfeldy Single Cask,9459.62,11.20467841
Absolut Cilantro,4164.72,42.73516587
Absolut Elyx,674.85,17.94324665
Absolut Grapevine Vodka,5672.1,82.43754518
Absolut Hibiskus,153.93,27.5579809
Absolut Orient Apple Vodka,119.94,87.65215941
Absolut Peppar Vodka,239.88,19.73903618
Absolut Wild Tea,901.88,83.92801703
Acacia Winery Pnt Nr Carnero,447.84,3.499017506
Achaval Ferrer Cab Svgn,229.9,15.01087429
Acorn Alegria Vyds Cab Franc,2944.94,52.16608827
Acorn Cve Alegria Russ Syrah,2780.01,66.74472394
Acorn Dolcetto Alegria RRV,3023.01,57.29752796
Acorn Medley Alegria RRV,1934.25,85.08517513
Acorn Sangiovese Alegria RRV,8434.98,32.76996507
Adaption by Odette Chard,3294.97,81.47327593
Adelsheim Auxerrois Ribbon S,901.59,78.5734092
Adelsheim Bryan Creek Pnt Nr,2449.65,77.14285714
Adelsheim Caitlins Rsv Chard,1639.59,61.98561836
Adelsheim Chard Willmete Vly,1813.24,45.52072533
Adelsheim Elizbth RSV Pnt Nr,2561.45,64.86638427
